Entry=disgust sadness happiness happiness like fear surprise
靠不住=0.23435980650021768 0.13808461147144904 0.19203312883120938 0.06707769307891043 0.1357423590810191 0.1756204760458824 0.05708192499131188
筛选=0.21751410647302505 0.24244638140955224 0.07025363731614066 0.14463519689947377 0.18715442965756682 0.0798742518005783 0.05812199644366322
蓬松=0.1666094431996933 0.09949444653410647 0.08022687062940184 0.14449022742637965 0.3317075280116041 0.09343883958749702 0.08403264461131756
闭塞=0.2650776899219402 0.18778412895772054 0.14268081158250284 0.07282609139674696 0.1018864092640516 0.13257688375327065 0.09716798512376715
把酒=0.16326783748039764 0.14207663208615268 0.05317345766121113 0.2971373967118401 0.20472657069935973 0.08588766304818246 0.053730442312856376
一网打尽=0.1645207017306173 0.07191957779446473 0.05948749073588785 0.23875724970182288 0.2637554933324554 0.10761965885356387 0.09393982785118796
最著名=0.16359259328353337 0.07424387135385893 0.05647195769673285 0.242005387993685 0.2567707899402565 0.11876043356201672 0.0881549661699166
专访=0.22812656267148998 0.05395440339460333 0.041501047363145215 0.26831506555559687 0.26248794915891577 0.07443427824311113 0.07118069361313775
侠客=0.058849856732851306 0.041442920713196565 0.018148330274256205 0.14079461357986794 0.2736996589893115 0.41592262125049967 0.05114199846001672
母爱=0.13828226772166385 0.0918169191088147 0.06671192934281323 0.21582445527419272 0.3215636068531736 0.09588791309691422 0.0699129086024277
叮嘱=0.17478094381787582 0.10321104279555178 0.07512209689855572 0.2912451852738869 0.2185035858752636 0.08175954221856485 0.05537760312030135
揭晓=0.14543438130495678 0.05269428999829684 0.052168064858951126 0.3090938924583216 0.29429862234253007 0.07092405104368067 0.07538669799326292
锤炼=0.16087578336757138 0.08354625221709402 0.06597495186926766 0.22515290983776942 0.22089872662509707 0.11860360709764557 0.12494776898555499
对峙=0.2263785297004095 0.11065893092892552 0.28968309904047884 0.1281626301781723 0.08701072204046713 0.08238587111274288 0.07572021699880385
要好=0.20555110281669794 0.08442174402562352 0.09971761807034084 0.21498042803772657 0.2525253875239165 0.09449465276877465 0.048309066756919886
分配=0.23202412380282397 0.08933060695422955 0.12571085771740179 0.1896710890047217 0.21938806757332097 0.07632710722715318 0.06754814772034891
庸人自扰=0.26708161828545735 0.16334416747180647 0.13789140409278136 0.1586489195019583 0.1309042120311786 0.09234467720865461 0.04978500140816323
幸灾乐祸=0.26219114543345146 0.13029275312079072 0.17449386859124372 0.2132425049512979 0.08389714726604289 0.08376150045826404 0.05212108017890919
造谣=0.2575398052618044 0.088475934407503 0.23574197582679707 0.08318292336206959 0.16107631993387017 0.10315246298317819 0.07083057822477752
投递=0.3492707329229367 0.09417416716882122 0.12782876753158934 0.13513136767651185 0.18321952197834676 0.06500976984100429 0.04536567288078975
屈指可数=0.17912249604042885 0.22212193525233473 0.07673435185773507 0.17898016796795516 0.2012774778883799 0.09325302887719931 0.04851054211596689
叫嚣=0.3966954426099879 0.09744994075349168 0.16781112982905855 0.1344444642643059 0.07423304840273429 0.0792670909133132 0.050098883227108516
说起=0.18163013356760488 0.10863757576421978 0.08161573947069024 0.18458697238796837 0.20886773052995317 0.12606203922075637 0.10859980905880735
行经=0.14830622815116898 0.10586490370165351 0.09516310007594132 0.14170113572516932 0.2647205026399245 0.18721698550927046 0.05702714419687185
得法=0.27096476875835196 0.16915261697800077 0.17468082061443765 0.0827454225357042 0.11848451621641254 0.12057755201510267 0.06339430288199015
回笼=0.2396700967157931 0.1115025809968605 0.08849035387970682 0.2086920747003419 0.16886676584154764 0.1329662304611073 0.04981189740464272
枯燥=0.22173294795201892 0.13255422372506223 0.07794750801367746 0.13938411051444738 0.2694673983616347 0.11206509272974392 0.04684871870341535
调训=0.20447797116768315 0.12761374442029075 0.11477188048374132 0.23145536852160428 0.16423570534831644 0.0934047793295546 0.06404055072880954
比照=0.328693144385696 0.10987049881174259 0.06042981249877641 0.18000954432164026 0.14341222557019886 0.0988808407131745 0.07870393369877128
聚精会神=0.1740352073381439 0.07524932612456327 0.08203071427106477 0.19357864384659085 0.12060417921240281 0.0892652296772546 0.26523669952997975
萌芽=0.25159929383389323 0.09715495878083041 0.072747051902405 0.23738256733945992 0.19958771333511063 0.0866598091561314 0.05486860565216938
调试=0.1855812167328804 0.08751371123499455 0.14269571336683348 0.2361910034117587 0.17559991164834957 0.09218336653610651 0.08023507706907694
絮絮叨叨=0.3217449784825275 0.11479751605529671 0.10281193407909961 0.13399969251298324 0.19126001205077361 0.08837318512049144 0.04701268169882793
制订=0.2015679570848216 0.11177517903142481 0.1366127197999062 0.1690448465021813 0.17724148489933536 0.09952858743447711 0.10422922524785361
叫嚷=0.400670548534254 0.08738374102530114 0.2086088494482281 0.08899644834000411 0.09278947639508155 0.07318836904851968 0.04836256720861152
听从=0.17164168615679967 0.1574334221462906 0.1389507321018967 0.14188704387563814 0.22670171975255812 0.10718278979011289 0.0562026061767039
并进=0.15829457838049432 0.08729043446621805 0.053626398570203175 0.23428138851410826 0.29079859259210056 0.10592524056292069 0.06978336691395491
腾出=0.23835968283315392 0.0787372860372437 0.04935019397866221 0.23882366783503747 0.2221523970393347 0.08731227395478615 0.0852644983217817
折返=0.21518518946356502 0.15613086886976432 0.149103912424534 0.14451738990604696 0.15112852170915947 0.11821480703344979 0.06571931059348061
寓意深刻=0.1571003399772087 0.05190918495611259 0.0562444136129527 0.33503463879959605 0.2367778308439668 0.08766458096054189 0.07526901084962126
看门=0.2251882931859694 0.10807315353652401 0.21818529781612553 0.08956751256318397 0.20349188704295026 0.08311534843017054 0.07237850742507633
